s,-0.5355612,0.6033296,-0.97097677,-0.92906225,-0.40028477,-0.19816542,0.20573795,-0.41040382,-0.74372935,-1.065911,-1.2531071,0.43700713,-0.14350201,-0.15943332,0.89584184,-0.88983387,-0.30520615,0.27741918,-1.4915603,0.104562,0.11149846,0.32270405,0.76026255,-2.2937582,-0.781191,0.9328675,0.031881053,0.5744703,-1.4869243,-1.6265149,-0.0036772885,0.48481312
A,0.42294106,0.13162866,-0.461024,-0.45051968,-0.6549194,0.1426456,-0.8778497,-1.0019099,-0.72860193,-1.2551187,0.29085892,-0.3736052,0.01208034,-0.27466777,-0.16560361,-0.47086456,-0.22264855,-0.6794071,-1.1344151,0.19316357,0.89483005,0.60658777,1.4786189,-1.236462,-1.4284484,0.3494032,-0.073477656,-0.66747904,-0.38256785,0.01077999,-1.3015375,0.25592783
C,-0.7233515,0.59477425,0.1298167,-0.85357827,-0.75850207,0.0016016173,-0.056275316,-1.4098254,-1.6177524,-0.5408432,1.0650486,-0.64215785,0.23107456,-1.727852,-0.65963876,-0.9030333,1.3910465,1.5704513,1.1356695,-1.1502942,0.34156117,0.92549866,-1.3492538,-1.2077817,-0.73230094,-1.3973854,-0.44498146,0.21726497,0.50349313,1.5281212,-1.3763686,0.96527374
D,1.651755,0.053704906,-0.36877012,-0.9936091,0.70414436,0.8790401,0.5217944,0.4552038,-0.03845985,-1.1213881,0.636639,-1.1451749,-1.1156082,0.44911873,-0.79661137,0.49280202,-0.6805248,-0.28652754,-0.46101546,1.7293321,-1.1111975,-1.5588847,1.1416984,-0.30493364,0.37285703,0.4812922,-0.9374651,0.07249512,-2.372979,-0.2797698,0.47603327,0.46797207
E,0.45392016,-0.12598465,0.2093033,0.9363119,0.57161355,-0.3083769,0.25188082,-0.16793604,-0.4742424,-0.6376071,-0.43911308,-1.9312297,-1.8624381,-0.3476095,-0.9060544,-1.5948114,-0.59875166,-0.90297997,-0.24265522,-0.18165122,0.175563,-0.3889109,0.15161246,-2.1013064,1.7422122,-0.052446637,-0.32219088,0.072442494,0.48584393,-1.1916519,-0.041676752,0.6124509
F,-1.1767597,0.12054212,-1.0836805,-0.59758383,2.7029865,0.81721985,-0.15766533,1.7711189,-0.39357242,-0.8793061,-0.2172589,0.07399108,0.8564481,0.99578524,-0.40879244,0.86639833,0.5942477,0.6394411,0.3853349,1.5201048,-0.6969799,-0.11981795,0.22102417,0.46794498,0.9169773,-0.68809944,-1.0148547,-0.92366093,-0.5999209,0.14948621,0.24657162,-0.122529656
G,1.1975319,-0.015388884,-0.07410301,-0.38575253,1.2120827,-0.11535121,0.42377397,1.8705199,0.14702186,-1.0978665,0.5877181,0.05024836,0.10531601,-1.2206253,0.086460344,-0.7142569,-0.5957343,-1.0544103,-1.3671706,-0.8294057,1.2317731,-0.4790183,0.809557,1.4654679,-0.60284895,0.56499344,-0.2052028,-1.4657124,-0.66835016,-1.0455179,1.2512585,0.78690237
H,-1.3508157,-0.46595275,0.3421119,0.9523444,-0.07168042,-0.98615193,1.2058932,-0.32664198,0.5023565,-0.9582732,-0.5421191,0.9121019,0.4765468,-0.17426977,0.38055497,-1.0987489,-0.25794047,1.3857886,-0.76415426,-1.4990538,1.0302166,-1.0683395,1.7629228,-0.18329374,-1.7143102,0.53834826,0.35726866,-0.5437741,0.76074004,0.28248078,0.014722566,1.7169087
I,-1.9658617,-0.24177293,1.4154681,0.0018145647,-0.7608247,0.7417544,-0.54102474,1.6899554,-1.8098061,-0.09831968,-1.1905378,-0.49085358,1.2571759,-0.6678166,0.18546087,-0.65358907,0.4028602,0.17750996,2.451636,0.5145802,0.22258367,0.56876844,-0.11953147,-0.46027502,0.4548468,-0.5153236,-0.53156465,0.61317456,0.3266292,1.5419433,-0.93361247,0.4309208
K,0.24440539,-1.8862883,0.24640048,-0.12459227,0.5974799,1.0082014,-0.19532801,0.9996125,0.6464866,-0.7874847,0.6421502,-1.6020039,-1.1694068,0.5548394,-0.8764104,1.169303,-0.57337445,0.40246224,2.6931472,1.0653458,0.44741842,-0.5410085,-0.58373266,-0.96222156,-1.2569153,1.1563326,-1.6211395,0.1176179,0.5611461,-1.049831,0.620374,0.5005107
